variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
yop_off,142,2,0,6,4,2,1,6,0,0,2.049456083215773
yop_on,142,2,0,6,4,2,1,6,0,0,2.040433124639094
yop_off,143,3,1,10,9,0,4,3,1,0,1.672800250351429
yop_on,143,3,1,10,9,0,4,3,1,0,1.6697901673614979
yop_off,144,0,1,10,8,3,2,6,0,0,2.0092285415157676
yop_on,144,0,1,10,8,3,2,6,0,0,1.9457887094467878
yop_off,145,1,0,8,7,3,2,2,0,0,2.179783542640507
yop_on,145,1,0,8,7,3,2,2,0,0,2.2743046255782247
yop_off,146,2,1,10,10,5,1,5,1,0,1.5312876254320145
yop_on,146,2,1,10,10,5,1,5,1,0,1.620842874981463
yop_off,147,3,0,8,5,1,3,6,0,0,1.8905847920104861
yop_on,147,3,0,8,5,1,3,6,0,0,1.9598579164594412
yop_off,148,0,0,9,12,4,1,2,1,0,1.5035968758165836
yop_on,148,0,0,9,12,4,1,2,1,0,1.5333083346486092
yop_off,149,1,1,10,12,4,2,3,1,0,2.0813262090086937
yop_on,149,1,1,10,12,4,2,3,1,0,2.0739045003429055
yop_off,150,2,0,5,11,5,0,6,0,0,1.911599458195269
yop_on,150,2,0,5,11,5,0,6,0,0,1.9401516243815422
yop_off,151,3,0,4,7,4,0,2,0,0,1.746906291693449
yop_on,151,3,0,4,7,4,0,2,0,0,1.7644642908126116
yop_off,152,0,0,4,6,2,1,0,0,0,0.8090484580025077
yop_on,152,0,0,4,6,2,1,0,0,0,0.8087108340114355
yop_off,153,1,1,10,9,4,1,4,1,0,1.764343250542879
yop_on,153,1,1,10,9,4,1,4,1,0,1.735802291892469
yop_off,154,2,0,4,5,4,0,1,0,0,1.1795735824853182
yop_on,154,2,0,4,5,4,0,1,0,0,1.1855455841869116
yop_off,155,3,1,10,14,5,1,4,1,0,2.3383259177207947
yop_on,155,3,1,10,14,5,1,4,1,0,2.1865916661918163
yop_off,156,0,1,10,6,2,3,5,0,0,1.8572042919695377
yop_on,156,0,1,10,6,2,3,5,0,0,1.928858958184719
yop_off,157,1,1,10,9,4,2,3,0,0,2.7153503326699138
yop_on,157,1,1,10,9,4,2,3,0,0,2.722710333764553
yop_off,158,2,1,10,6,1,4,1,0,0,1.745805375277996
yop_on,158,2,1,10,6,1,4,1,0,0,1.7321496671065688
yop_off,159,3,0,8,6,3,2,5,0,0,1.5360590405762196
yop_on,159,3,0,8,6,3,2,5,0,0,1.4804601659998298
yop_off,160,0,1,10,10,1,4,4,0,0,2.327982542105019
yop_on,160,0,1,10,10,1,4,4,0,0,2.8360704174265265
yop_off,161,1,1,10,12,4,2,0,1,0,2.1292548747733235
yop_on,161,1,1,10,12,4,2,0,1,0,2.180625917389989
yop_off,162,2,1,10,10,4,1,2,1,0,1.7393552921712399
yop_on,162,2,1,10,10,4,1,2,1,0,1.6423692917451262
