seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
60,0,0,0,0,7,7,0,12,12,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,2.230996041558683,2.58588045835495,0.35488441679626703
61,1,0,0,0,7,7,0,6,6,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,1.8792634159326553,1.8151972917839885,-0.06406612414866686
62,2,0,0,0,7,7,0,10,10,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,4.207272167317569,3.0874255001544952,-1.119846667163074
63,3,0,0,0,6,6,0,3,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,1.3790689576417208,1.8420819584280252,0.4630130007863045
64,0,0,0,0,7,7,0,5,5,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,2.4315249994397163,2.513141041621566,0.08161604218184948
65,1,0,0,0,8,8,0,7,7,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,2.3183813337236643,2.1069955825805664,-0.21138575114309788
66,2,0,0,0,5,5,0,5,5,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.7743910001590848,1.8810874577611685,0.10669645760208368
67,3,1,1,0,10,10,0,15,15,0,3,3,0,2,2,0,5,5,0,1,1,0,0,0,0,2.7952854158356786,3.118409584276378,0.3231241684406996
68,0,1,1,0,10,10,0,8,8,0,3,3,0,2,2,0,6,6,0,0,0,0,0,0,0,2.704297624528408,2.6560701252892613,-0.04822749923914671
69,1,0,0,0,9,9,0,8,8,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,3.1758652916178107,2.4584538340568542,-0.7174114575609565
70,2,1,1,0,10,10,0,7,7,0,1,1,0,3,3,0,5,5,0,0,0,0,0,0,0,2.621389750391245,2.642814291641116,0.021424541249871254
71,3,1,1,0,10,10,0,7,7,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,1.9619249161332846,2.759897166863084,0.7979722507297993
72,0,1,1,0,10,10,0,7,7,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,2.1734058745205402,2.289839499630034,0.11643362510949373
73,1,0,0,0,7,7,0,9,9,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,1.8596017081290483,1.7585920840501785,-0.10100962407886982
74,2,0,0,0,6,6,0,7,7,0,3,3,0,1,1,0,5,5,0,0,0,0,0,0,0,1.6746179582551122,1.9640038330107927,0.28938587475568056
75,3,1,1,0,10,10,0,10,11,1,4,4,0,2,2,0,3,2,-1,1,1,0,0,0,0,2.0700621670112014,2.9776161247864366,0.9075539577752352
76,0,0,0,0,5,5,0,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2.7133091669529676,2.6952455416321754,-0.018063625320792198
