variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
yop_on,82,2,0,6,7,3,1,1,0,0,1.0133623331785202
yop_off,83,3,0,5,8,3,1,4,0,0,1.7549170823767781
yop_on,83,3,0,5,8,3,1,4,0,0,1.7812514994293451
yop_off,84,0,0,6,13,4,1,2,0,0,2.4723092075437307
yop_on,84,0,0,6,13,4,1,2,0,0,2.4362260419875383
yop_off,85,1,0,8,10,5,0,1,1,0,1.641215874813497
yop_on,85,1,0,8,10,5,0,1,1,0,1.619472624734044
yop_off,86,2,0,4,5,3,0,5,0,0,1.1982903331518173
yop_on,86,2,0,4,5,3,0,5,0,0,1.2000452922657132
yop_off,87,3,0,4,7,4,0,6,0,0,1.5481365416198969
yop_on,87,3,0,4,7,4,0,6,0,0,1.5439997902140021
yop_off,88,0,1,10,13,4,2,1,1,0,1.9049351243302226
yop_on,88,0,1,10,13,4,2,1,1,0,2.4648480406031013
yop_off,89,1,0,6,6,4,0,7,0,0,2.6361927911639214
yop_on,89,1,0,6,6,4,0,7,0,0,3.0000270418822765
yop_off,90,2,0,9,7,0,4,2,0,0,2.436348833143711
yop_on,90,2,0,9,7,0,4,2,0,0,2.4218400828540325
yop_off,91,3,0,6,3,3,0,9,0,0,2.373380499891937
yop_on,91,3,0,7,3,1,2,8,0,0,2.3250615829601884
yop_off,92,0,1,11,11,5,2,4,1,0,2.140181291848421
yop_on,92,0,1,11,14,5,2,8,1,0,2.8522598752751946
yop_off,93,1,0,5,9,5,0,1,0,0,1.6296706665307283
yop_on,93,1,0,6,11,4,1,3,0,0,2.44867308344692
yop_off,94,2,0,9,12,4,1,3,1,0,2.8139558751136065
yop_on,94,2,0,9,12,4,1,3,1,0,2.832828000187874
yop_off,95,3,1,10,15,4,2,6,0,0,2.6203004168346524
yop_on,95,3,1,10,15,4,2,6,0,0,2.6346331667155027
yop_off,96,0,0,8,9,2,2,4,0,0,1.6781720416620374
yop_on,96,0,1,10,9,2,3,3,0,0,1.9757509585469961
yop_off,97,1,0,8,9,4,2,1,0,0,2.2197026666253805
yop_on,97,1,0,8,9,4,2,1,0,0,2.2435976257547736
yop_off,98,2,1,10,15,4,2,0,1,0,3.012636624276638
yop_on,98,2,1,10,15,4,2,0,1,0,3.054119915701449
yop_off,99,3,0,7,14,5,0,5,1,0,2.8090499164536595
yop_on,99,3,1,10,12,5,2,4,0,0,4.065566374920309
yop_off,100,0,0,9,5,1,3,7,0,0,1.9541874174028635
yop_on,100,0,0,9,5,1,3,7,0,0,1.979036582633853
yop_off,101,1,1,10,12,0,4,3,1,0,2.379892250522971
yop_on,101,1,0,7,7,0,3,3,0,0,1.9247712502256036
yop_off,102,2,1,10,10,3,2,3,1,0,2.182606415823102
yop_on,102,2,1,10,10,3,2,3,1,0,2.1788341253995895
yop_off,103,3,1,10,15,5,1,7,1,0,3.4957947926595807
yop_on,103,3,1,10,15,4,1,4,1,0,3.6940235421061516
yop_off,104,0,0,8,7,3,2,4,0,0,2.1614022916182876
yop_on,104,0,0,8,7,3,2,4,0,0,2.123477665707469
