seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
55,3,1,1,0,10,10,0,14,14,0,4,4,0,2,2,0,4,4,0,1,1,0,0,0,0,2.344533583149314,2.9692602921277285,0.6247267089784145
56,0,0,0,0,6,6,0,10,10,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,1.7516830414533615,1.7151117091998458,-0.03657133225351572
57,1,0,0,0,7,7,0,3,3,0,1,1,0,2,2,0,7,7,0,0,0,0,0,0,0,1.882043250836432,1.9032470835372806,0.02120383270084858
58,2,0,0,0,6,6,0,7,7,0,2,2,0,2,2,0,5,5,0,0,0,0,0,0,0,2.0987630002200603,2.0710779577493668,-0.027685042470693588
59,3,1,1,0,10,10,0,13,13,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,1.9944305000826716,1.9661668743938208,-0.02826362568885088
60,0,0,0,0,7,9,2,12,11,-1,4,3,-1,1,2,1,4,5,1,0,0,0,0,0,0,2.1413237918168306,2.768300083465874,0.6269762916490436
61,1,0,0,0,7,7,0,6,6,0,4,4,0,1,1,0,4,4,0,0,0,0,0,0,0,1.6010107081383467,1.5826600836589932,-0.018350624479353428
62,2,0,0,0,7,7,0,10,10,0,3,3,0,2,2,0,1,1,0,0,0,0,0,0,0,2.7142361672595143,2.6207412919029593,-0.09349487535655499
63,3,0,0,0,6,6,0,3,3,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,1.248536167666316,1.6802300829440355,0.4316939152777195
64,0,0,0,0,7,7,0,5,5,0,2,2,0,2,2,0,4,4,0,0,0,0,0,0,0,2.1064079999923706,2.0974899996072054,-0.008918000385165215
65,1,0,0,0,8,8,0,7,7,0,2,2,0,3,3,0,1,1,0,0,0,0,0,0,0,2.0567228756844997,2.0400447910651565,-0.01667808461934328
66,2,0,0,0,5,5,0,5,5,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.7482842085883021,1.7007526252418756,-0.04753158334642649
67,3,1,1,0,10,10,0,15,15,0,3,3,0,2,2,0,5,5,0,1,1,0,0,0,0,2.796320208348334,3.0842980416491628,0.28797783330082893
68,0,1,1,0,10,10,0,8,8,0,3,3,0,2,2,0,6,6,0,0,0,0,0,0,0,2.27832075022161,2.2596388747915626,-0.018681875430047512
69,1,0,0,0,9,7,-2,8,3,-5,0,0,0,4,3,-1,4,6,2,0,0,0,0,0,0,2.465905542485416,2.1619638334959745,-0.3039417089894414
70,2,1,1,0,10,10,0,7,7,0,1,1,0,3,3,0,5,5,0,0,0,0,0,0,0,2.3281462928280234,2.4715521661564708,0.14340587332844734
71,3,1,1,0,10,10,0,7,7,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,1.7891816664487123,2.6214709589257836,0.8322892924770713
72,0,1,1,0,10,10,0,7,7,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,2.0080042080953717,2.0476019997149706,0.039597791619598866
73,1,0,0,0,7,7,0,9,9,0,5,5,0,0,0,0,6,6,0,0,0,0,0,0,0,1.6210801247507334,1.6128817088901997,-0.008198415860533714
74,2,0,0,0,6,3,-3,7,7,0,3,3,0,1,0,-1,5,3,-2,0,0,0,0,0,0,1.5817960826680064,1.521567165851593,-0.0602289168164134
75,3,1,1,0,10,10,0,10,11,1,4,4,0,2,2,0,3,2,-1,1,1,0,0,0,0,2.028521333821118,2.873864999972284,0.845343666151166
76,0,0,0,0,5,5,0,7,7,0,5,5,0,0,0,0,1,1,0,0,0,0,0,0,0,2.718590500764549,2.691287875175476,-0.027302625589072704
77,1,0,0,0,5,5,0,6,6,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.734122666530311,1.750289000570774,0.01616633404046297
78,2,1,1,0,10,10,0,10,10,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,2.0809990419074893,2.4044772926717997,0.32347825076431036
79,3,1,1,0,10,10,0,10,10,0,5,5,0,1,1,0,2,2,0,1,1,0,0,0,0,1.4707248331978917,1.833995041437447,0.36327020823955536
80,0,1,1,0,10,10,0,7,7,0,1,1,0,4,4,0,5,5,0,0,0,0,0,0,0,2.917401666752994,2.931426708586514,0.014025041833519936
81,1,0,0,0,7,7,0,5,5,0,0,0,0,3,3,0,6,6,0,0,0,0,0,0,0,1.6880726665258408,1.7080200826749206,0.0199474161490798
82,2,1,0,-1,10,6,-4,12,7,-5,5,3,-2,1,1,0,3,1,-2,1,0,-1,0,0,0,2.2765021668747067,1.0133623331785202,-1.2631398336961865
83,3,0,0,0,5,5,0,8,8,0,3,3,0,1,1,0,4,4,0,0,0,0,0,0,0,1.7549170823767781,1.7812514994293451,0.026334417052567005
84,0,0,0,0,6,6,0,13,13,0,4,4,0,1,1,0,2,2,0,0,0,0,0,0,0,2.4723092075437307,2.4362260419875383,-0.0360831655561924
85,1,0,0,0,8,8,0,10,10,0,5,5,0,0,0,0,1,1,0,1,1,0,0,0,0,1.641215874813497,1.619472624734044,-0.02174325007945299
86,2,0,0,0,4,4,0,5,5,0,3,3,0,0,0,0,5,5,0,0,0,0,0,0,0,1.1982903331518173,1.2000452922657132,0.001754959113895893
87,3,0,0,0,4,4,0,7,7,0,4,4,0,0,0,0,6,6,0,0,0,0,0,0,0,1.5481365416198969,1.5439997902140021,-0.004136751405894756
88,0,1,1,0,10,10,0,13,13,0,4,4,0,2,2,0,1,1,0,1,1,0,0,0,0,1.9049351243302226,2.4648480406031013,0.5599129162728786
89,1,0,0,0,6,6,0,6,6,0,4,4,0,0,0,0,7,7,0,0,0,0,0,0,0,2.6361927911639214,3.0000270418822765,0.3638342507183552
90,2,0,0,0,9,9,0,7,7,0,0,0,0,4,4,0,2,2,0,0,0,0,0,0,0,2.436348833143711,2.4218400828540325,-0.014508750289678574
91,3,0,0,0,6,7,1,3,3,0,3,1,-2,0,2,2,9,8,-1,0,0,0,0,0,0,2.373380499891937,2.3250615829601884,-0.04831891693174839
92,0,1,1,0,11,11,0,11,14,3,5,5,0,2,2,0,4,8,4,1,1,0,0,0,0,2.140181291848421,2.8522598752751946,0.7120785834267735
93,1,0,0,0,5,6,1,9,11,2,5,4,-1,0,1,1,1,3,2,0,0,0,0,0,0,1.6296706665307283,2.44867308344692,0.8190024169161916
94,2,0,0,0,9,9,0,12,12,0,4,4,0,1,1,0,3,3,0,1,1,0,0,0,0,2.8139558751136065,2.832828000187874,0.018872125074267387
95,3,1,1,0,10,10,0,15,15,0,4,4,0,2,2,0,6,6,0,0,0,0,0,0,0,2.6203004168346524,2.6346331667155027,0.014332749880850315
96,0,0,1,1,8,10,2,9,9,0,2,2,0,2,3,1,4,3,-1,0,0,0,0,0,0,1.6781720416620374,1.9757509585469961,0.29757891688495874
97,1,0,0,0,8,8,0,9,9,0,4,4,0,2,2,0,1,1,0,0,0,0,0,0,0,2.2197026666253805,2.2435976257547736,0.0238949591293931
98,2,1,1,0,10,10,0,15,15,0,4,4,0,2,2,0,0,0,0,1,1,0,0,0,0,3.012636624276638,3.054119915701449,0.041483291424810886
99,3,0,1,1,7,10,3,14,12,-2,5,5,0,0,2,2,5,4,-1,1,0,-1,0,0,0,2.8090499164536595,4.065566374920309,1.256516458466649
100,0,0,0,0,9,9,0,5,5,0,1,1,0,3,3,0,7,7,0,0,0,0,0,0,0,1.9541874174028635,1.979036582633853,0.024849165230989456
101,1,1,0,-1,10,7,-3,12,7,-5,0,0,0,4,3,-1,3,3,0,1,0,-1,0,0,0,2.379892250522971,1.9247712502256036,-0.4551210002973676
102,2,1,1,0,10,10,0,10,10,0,3,3,0,2,2,0,3,3,0,1,1,0,0,0,0,2.182606415823102,2.1788341253995895,-0.003772290423512459
