strategy,seed,seat,winner,game_turns,first_road_global,first_road_own,first_settlement_global,first_settlement_own,first_city_global,first_city_own,first_dev_global,first_dev_own,first_lr_global,first_lr_own,first_la_global,first_la_own
full_ows,21,3,0,146,27,7,,,139,35,7,2,75,19,59,15
full_ows,21,4,0,146,12,3,,,96,24,4,1,,,,
full_ows,22,1,1,73,1,1,13,4,,,13,4,37,10,73,19
full_ows,22,2,0,73,2,1,66,17,,,26,7,,,,
full_ows,22,3,0,73,67,17,,,15,4,51,13,,,,
full_ows,22,4,0,73,,,,,,,12,3,,,52,13
full_ows,23,1,0,104,,,,,,,1,1,,,,
full_ows,23,2,0,104,6,2,,,,,26,7,66,17,,
full_ows,23,3,0,104,63,16,,,103,26,27,7,,,63,16
full_ows,23,4,1,104,16,4,40,10,44,11,8,2,104,26,32,8
full_ows,24,1,0,100,25,7,,,,,21,6,33,9,,
full_ows,24,2,0,100,2,1,,,,,26,7,42,11,,
full_ows,24,3,0,100,15,4,35,9,83,21,27,7,,,,
full_ows,24,4,1,100,8,2,,,88,22,4,1,88,22,48,12
full_ows,25,1,1,161,13,4,153,39,113,29,9,3,121,31,61,16
full_ows,25,2,0,161,54,14,150,38,,,6,2,,,38,10
full_ows,25,3,0,161,79,20,,,155,39,15,4,,,,
full_ows,25,4,0,161,44,11,,,92,23,20,5,48,12,,
full_ows,26,1,0,123,53,14,101,26,21,6,37,10,,,,
full_ows,26,2,0,123,74,19,,,90,23,14,4,,,,
full_ows,26,3,1,123,39,10,,,59,15,3,1,123,31,,
full_ows,26,4,0,123,16,4,48,12,84,21,4,1,36,9,16,4
full_ows,27,1,0,138,21,6,,,109,28,21,6,,,61,16
full_ows,27,2,1,138,2,1,102,26,22,6,18,5,38,10,,
full_ows,27,3,0,138,135,34,,,107,27,3,1,,,55,14
full_ows,27,4,0,138,120,30,,,,,48,12,,,,
full_ows,28,1,0,115,21,6,,,45,12,5,2,,,29,8
full_ows,28,2,0,115,14,4,98,25,10,3,50,13,58,15,,
full_ows,28,3,1,115,27,7,115,29,23,6,35,9,67,17,,
full_ows,28,4,0,115,104,26,,,,,20,5,,,64,16
full_ows,29,1,1,105,1,1,105,27,13,4,53,14,41,11,105,27
full_ows,29,2,0,105,2,1,,,,,14,4,,,,
full_ows,29,3,0,105,59,15,,,,,19,5,,,55,14
full_ows,29,4,0,105,32,8,104,26,4,1,24,6,40,10,92,23
full_ows,30,1,0,124,37,10,109,28,25,7,61,16,,,,
full_ows,30,2,0,124,2,1,90,23,110,28,22,6,82,21,50,13
full_ows,30,3,0,124,11,3,,,107,27,7,2,43,11,,
full_ows,30,4,1,124,20,5,124,31,28,7,4,1,,,92,23
full_ows,31,1,1,65,17,5,29,8,13,4,29,8,65,17,45,12
full_ows,31,2,0,65,2,1,,,,,18,5,,,,
full_ows,31,3,0,65,59,15,,,,,3,1,,,,
full_ows,31,4,0,65,16,4,,,,,52,13,36,9,,
full_ows,32,1,0,140,53,14,,,9,3,29,8,,,41,11
full_ows,32,2,0,140,2,1,86,22,22,6,18,5,110,28,,
full_ows,32,3,0,140,119,30,,,111,28,7,2,,,,
full_ows,32,4,1,140,48,12,140,35,12,3,8,2,124,31,96,24
full_ows,33,1,1,113,1,1,25,7,89,23,5,2,17,5,,
full_ows,33,2,0,113,18,5,102,26,,,54,14,,,,
full_ows,33,3,0,113,59,15,,,95,24,23,6,,,79,20
full_ows,33,4,0,113,64,16,76,19,40,10,12,3,,,24,6
full_ows,34,1,1,117,13,4,81,21,13,4,9,3,,,,
full_ows,34,2,0,117,2,1,102,26,,,30,8,26,7,,
full_ows,34,3,0,117,15,4,91,23,,,11,3,,,47,12
full_ows,34,4,0,117,4,1,64,16,,,28,7,52,13,,
full_ows,35,1,0,116,41,11,,,33,9,9,3,,,,
full_ows,35,2,0,116,10,3,114,29,66,17,82,21,90,23,,
full_ows,35,3,0,116,67,17,,,,,11,3,,,,
full_ows,35,4,1,116,40,10,,,12,3,8,2,64,16,28,7
full_ows,36,1,0,108,5,2,65,17,,,13,4,,,,
full_ows,36,2,0,108,2,1,98,25,,,26,7,42,11,,
full_ows,36,3,0,108,,,,,,,63,16,,,,
full_ows,36,4,1,108,8,2,24,6,72,18,8,2,16,4,64,16
full_ows,37,1,1,133,29,8,93,24,13,4,49,13,133,34,,
full_ows,37,2,0,133,90,23,102,26,30,8,14,4,,,,
full_ows,37,3,0,133,,,,,119,30,7,2,,,51,13
