variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
maritime_on,66,2,0,4,6,3,0,4,0,0,1.7005925420671701
maritime_off,67,3,1,10,14,4,1,6,1,0,2.1264649173244834
maritime_on,67,3,1,10,15,3,2,5,1,0,2.317047874443233
maritime_off,68,0,1,10,12,0,3,9,1,0,1.9193870825693011
maritime_on,68,0,0,9,3,0,3,10,0,0,2.402689124457538
maritime_off,69,1,1,10,7,1,4,4,0,0,1.9033290417864919
maritime_on,69,1,0,6,4,2,2,6,0,0,1.5505640404298902
maritime_off,70,2,0,4,3,2,1,3,0,0,1.4177847914397717
maritime_on,70,2,1,10,7,1,3,5,0,0,2.4477789597585797
maritime_off,71,3,0,9,4,0,4,1,0,0,1.6998499995097518
maritime_on,71,3,1,10,7,3,2,4,0,0,1.8192641660571098
maritime_off,72,0,1,10,9,2,4,1,0,0,1.5909707499668002
maritime_on,72,0,1,10,8,3,2,2,1,0,1.3474974995478988
maritime_off,73,1,0,5,2,0,2,5,0,0,1.5494547504931688
maritime_on,73,1,0,5,3,0,2,6,0,0,1.3814589157700539
maritime_off,74,2,0,8,9,0,4,3,0,0,1.6351649584248662
maritime_on,74,2,1,10,7,1,4,3,0,0,1.3285592906177044
maritime_off,75,3,0,6,9,4,1,1,0,0,1.629334332421422
maritime_on,75,3,1,10,10,4,2,3,1,0,1.9990688329562545
maritime_off,76,0,0,6,10,3,1,7,0,0,2.312648583203554
maritime_on,76,0,1,10,8,2,3,8,0,0,3.2735877921804786
maritime_off,77,1,0,4,2,1,1,3,0,0,1.5748662073165178
maritime_on,77,1,0,4,3,0,2,5,0,0,1.6430306667461991
maritime_off,78,2,1,10,14,4,2,0,1,0,2.331635874696076
maritime_on,78,2,1,11,14,5,1,3,1,0,3.051810917444527
maritime_off,79,3,1,10,15,4,2,4,1,0,2.092252125032246
maritime_on,79,3,1,10,10,5,1,2,1,0,1.4907695427536964
maritime_off,80,0,1,10,8,4,2,4,0,0,1.4665922913700342
maritime_on,80,0,0,8,6,3,1,7,0,0,1.366052083671093
maritime_off,81,1,0,4,2,2,0,7,0,0,1.3090840000659227
maritime_on,81,1,0,7,4,2,1,7,0,0,1.6722862496972084
maritime_off,82,2,0,7,10,4,1,3,0,0,1.63363366574049
maritime_on,82,2,0,6,8,5,0,4,0,0,1.7828558329492807
maritime_off,83,3,0,5,4,1,2,5,0,0,1.4454775834456086
maritime_on,83,3,0,5,8,3,1,4,0,0,1.702790624462068
maritime_off,84,0,0,6,7,5,0,4,0,0,1.5748662911355495
maritime_on,84,0,0,7,5,2,2,4,0,0,1.8337551252916455
maritime_off,85,1,0,9,4,0,4,4,0,0,1.734804124571383
maritime_on,85,1,1,10,4,1,3,7,0,0,1.2609415408223867
maritime_off,86,2,0,6,5,0,3,0,0,0,1.7577033331617713
maritime_on,86,2,1,10,6,3,1,3,1,0,1.237039334140718
maritime_off,87,3,0,2,6,2,0,0,0,0,1.017848583869636
maritime_on,87,3,0,4,7,4,0,6,0,0,1.5553341247141361
maritime_off,88,0,1,10,9,1,4,1,0,0,1.5226921252906322
maritime_on,88,0,1,10,9,2,4,2,0,0,2.2708459589630365
maritime_off,89,1,0,9,3,0,3,7,0,0,2.0878327917307615
maritime_on,89,1,1,10,9,0,4,4,1,0,1.7106523755937815
maritime_off,90,2,0,4,6,4,0,0,0,0,1.792487332597375
maritime_on,90,2,0,7,8,5,0,5,0,0,2.114635500125587
maritime_off,91,3,0,7,3,1,1,6,0,0,1.9749857494607568
maritime_on,91,3,0,6,3,3,0,9,0,0,2.2557682497426867
maritime_off,92,0,1,10,8,2,4,3,0,0,2.1994842924177647
maritime_on,92,0,0,9,7,1,4,2,0,0,2.2099991673603654
maritime_off,93,1,0,4,4,2,1,4,0,0,1.527329582720995
maritime_on,93,1,0,8,7,3,1,5,0,0,1.9716592505574226
maritime_off,94,2,0,4,3,3,0,3,0,0,1.8881044574081898
maritime_on,94,2,0,3,3,3,0,4,0,0,1.2703344589099288
maritime_off,95,3,0,7,12,4,1,3,0,0,1.9224378326907754
maritime_on,95,3,1,10,15,4,2,6,0,0,2.511774208396673
maritime_off,96,0,0,7,4,1,3,3,0,0,1.2454398339614272
maritime_on,96,0,1,10,6,1,4,2,0,0,1.4250825829803944
maritime_off,97,1,0,6,4,1,2,2,0,0,1.197596374899149
maritime_on,97,1,0,6,4,0,2,7,0,0,2.368680166080594
maritime_off,98,2,0,8,15,5,0,2,1,0,2.6499554999172688
maritime_on,98,2,1,10,15,5,1,2,1,0,2.532706832513213
maritime_off,99,3,1,10,11,3,2,1,1,0,1.2373159164562821
maritime_on,99,3,0,7,14,5,0,5,1,0,2.7033420000225306
maritime_off,100,0,0,5,4,1,2,5,0,0,1.8162609999999404
maritime_on,100,0,0,9,8,1,4,3,0,0,1.8449202505871654
maritime_off,101,1,0,5,3,3,0,6,0,0,1.5320479171350598
maritime_on,101,1,0,5,3,3,0,7,0,0,1.4088397920131683
maritime_off,102,2,0,4,6,4,0,1,0,0,1.8050340842455626
maritime_on,102,2,0,5,5,0,2,4,0,0,1.8833828745409846
maritime_off,103,3,0,9,13,5,1,3,1,0,2.3668362498283386
maritime_on,103,3,1,10,15,5,1,7,1,0,3.357104209251702
maritime_off,104,0,0,6,3,1,2,4,0,0,1.123062040656805
maritime_on,104,0,0,3,3,2,0,4,0,0,1.181624500080943
maritime_off,105,1,0,7,3,0,3,9,0,0,1.5773637918755412
maritime_on,105,1,0,8,8,1,3,6,0,0,2.0962984170764685
maritime_off,106,2,0,8,15,5,0,1,1,0,2.26279279217124
maritime_on,106,2,1,10,14,4,2,2,1,0,3.031474499963224
