variant,seed,seat,won,final_vp,roads,settlements,cities,dev_cards,has_longest_road,has_largest_army,runtime_seconds
road_building_on,68,0,1,10,8,3,2,6,0,0,2.270093208178878
road_building_off,69,1,0,9,8,0,4,4,0,0,2.3269371250644326
road_building_on,69,1,0,7,5,2,2,4,0,0,1.8056434597820044
road_building_off,70,2,1,10,7,1,3,5,0,0,2.329449750483036
road_building_on,70,2,1,10,8,3,2,5,0,0,2.080787291750312
road_building_off,71,3,1,10,7,3,2,4,0,0,1.768106333911419
road_building_on,71,3,1,10,7,3,2,4,0,0,1.754505124874413
road_building_off,72,0,1,10,7,1,4,4,0,0,1.9548179162666202
road_building_on,72,0,1,10,7,1,4,4,0,0,1.9725698325783014
road_building_off,73,1,0,7,9,5,0,6,0,0,1.6285819998010993
road_building_on,73,1,0,7,9,5,0,6,0,0,1.6252301670610905
road_building_off,74,2,0,6,7,3,1,5,0,0,1.684010624885559
road_building_on,74,2,0,6,7,3,1,5,0,0,1.563047249801457
road_building_off,75,3,1,10,10,4,2,3,1,0,2.005448792129755
road_building_on,75,3,1,10,11,4,2,3,1,0,2.6011434169486165
road_building_off,76,0,0,5,7,5,0,1,0,0,2.7193855829536915
road_building_on,76,0,0,5,7,5,0,1,0,0,2.722240707837045
road_building_off,77,1,0,5,6,4,0,6,0,0,1.776781958527863
road_building_on,77,1,0,5,6,4,0,6,0,0,1.7848407914862037
road_building_off,78,2,1,10,10,1,4,4,0,0,2.091895416378975
road_building_on,78,2,1,10,10,1,4,4,0,0,2.107339167036116
road_building_off,79,3,1,10,10,5,1,2,1,0,1.4983960827812552
road_building_on,79,3,1,10,10,5,0,4,1,0,2.9349134592339396
road_building_off,80,0,1,10,7,1,4,5,0,0,3.040755582973361
road_building_on,80,0,1,10,7,1,4,5,0,0,3.019197916612029
road_building_off,81,1,0,7,5,0,3,6,0,0,1.7178310826420784
road_building_on,81,1,0,7,5,0,3,6,0,0,1.7172536253929138
road_building_off,82,2,1,10,12,5,1,3,1,0,2.311165957711637
road_building_on,82,2,1,10,12,5,1,3,1,0,2.286706958897412
road_building_off,83,3,0,5,8,3,1,4,0,0,1.8302295412868261
road_building_on,83,3,0,5,8,3,1,4,0,0,1.801206374540925
road_building_off,84,0,0,6,13,4,1,2,0,0,2.4913995414972305
road_building_on,84,0,0,6,13,4,1,2,0,0,2.5249845003709197
road_building_off,85,1,0,8,10,5,0,1,1,0,1.8286366667598486
road_building_on,85,1,0,9,10,4,1,1,1,0,1.7145206248387694
road_building_off,86,2,0,4,5,3,0,5,0,0,1.1893871668726206
road_building_on,86,2,0,4,5,3,0,5,0,0,1.210736332461238
road_building_off,87,3,0,4,7,4,0,6,0,0,1.5454760417342186
road_building_on,87,3,0,4,7,4,0,6,0,0,1.6211576657369733
road_building_off,88,0,1,10,13,4,2,1,1,0,1.9099193746224046
road_building_on,88,0,1,10,13,4,2,1,1,0,2.0502639999613166
road_building_off,89,1,0,6,6,4,0,7,0,0,2.8225524574518204
road_building_on,89,1,0,6,6,4,0,7,0,0,2.6245430409908295
road_building_off,90,2,0,9,7,0,4,2,0,0,2.4893567077815533
road_building_on,90,2,0,9,7,0,4,2,0,0,2.484539999626577
road_building_off,91,3,0,6,3,3,0,9,0,0,2.3616312919184566
road_building_on,91,3,1,10,7,3,2,6,0,0,2.790522334165871
road_building_off,92,0,1,11,11,5,2,4,1,0,2.1934414580464363
road_building_on,92,0,1,11,11,5,2,4,1,0,2.296748791821301
road_building_off,93,1,0,5,9,5,0,1,0,0,1.6597872087731957
road_building_on,93,1,0,5,9,5,0,1,0,0,1.6815893333405256
