seed,seat,won_off,won_on,won_diff,final_vp_off,final_vp_on,final_vp_diff,roads_off,roads_on,roads_diff,settlements_off,settlements_on,settlements_diff,cities_off,cities_on,cities_diff,dev_cards_off,dev_cards_on,dev_cards_diff,has_longest_road_off,has_longest_road_on,has_longest_road_diff,has_largest_army_off,has_largest_army_on,has_largest_army_diff,runtime_seconds_off,runtime_seconds_on,runtime_seconds_diff
97,1,0,0,0,8,6,-2,9,8,-1,4,4,0,2,1,-1,1,1,0,0,0,0,0,0,0,2.2126574590802193,2.1954350406304,-0.017222418449819088
98,2,1,1,0,10,10,0,15,15,0,4,4,0,2,2,0,0,0,0,1,1,0,0,0,0,3.0292281676083803,2.94051400013268,-0.08871416747570038
99,3,0,0,0,7,7,0,14,14,0,5,5,0,0,0,0,5,5,0,1,1,0,0,0,0,2.821271250024438,2.807113458402455,-0.014157791621983051
100,0,0,0,0,9,9,0,5,5,0,1,1,0,3,3,0,7,7,0,0,0,0,0,0,0,1.9631209997460246,1.9023139169439673,-0.060807082802057266
101,1,1,1,0,10,10,0,12,12,0,0,0,0,4,4,0,3,3,0,1,1,0,0,0,0,2.301656291820109,2.2107481667771935,-0.09090812504291534
102,2,1,1,0,10,10,0,10,10,0,3,3,0,2,2,0,3,3,0,1,1,0,0,0,0,2.095362917520106,2.120610457845032,0.025247540324926376
103,3,1,1,0,10,10,0,15,15,0,5,5,0,1,1,0,7,7,0,1,1,0,0,0,0,3.563550832681358,3.6063324995338917,0.04278166685253382
104,0,0,0,0,8,8,0,7,7,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,2.2360327504575253,2.1069907089695334,-0.1290420414879918
105,1,0,0,0,8,8,0,9,9,0,4,4,0,2,2,0,5,5,0,0,0,0,0,0,0,2.3759615002200007,2.3685050420463085,-0.007456458173692226
106,2,1,1,0,10,10,0,8,8,0,1,1,0,4,4,0,2,2,0,0,0,0,0,0,0,1.8078765831887722,1.8056127494201064,-0.0022638337686657906
107,3,1,1,0,10,10,0,8,13,5,4,5,1,2,1,-1,4,6,2,0,1,1,0,0,0,1.4244252499192953,2.2387919165194035,0.8143666666001081
108,0,1,1,0,10,10,0,9,10,1,1,4,3,4,2,-2,1,7,6,0,0,0,0,0,0,2.064105000346899,2.5651695420965552,0.5010645417496562
109,1,0,0,0,9,9,0,8,8,0,3,3,0,2,2,0,5,5,0,0,0,0,0,0,0,2.4013141663745046,2.4026995822787285,0.001385415904223919
110,2,1,1,0,10,10,0,11,10,-1,3,2,-1,3,3,0,4,3,-1,0,0,0,0,0,0,1.8903082925826311,1.7768770419061184,-0.11343125067651272
111,3,1,1,0,10,10,0,11,11,0,4,4,0,3,3,0,1,1,0,0,0,0,0,0,0,2.311337750405073,2.2322724582627416,-0.0790652921423316
112,0,0,0,0,7,7,0,9,9,0,5,5,0,1,1,0,2,2,0,0,0,0,0,0,0,2.0490518752485514,1.9858826249837875,-0.06316925026476383
113,1,1,1,0,10,10,0,9,9,0,5,5,0,1,1,0,1,1,0,1,1,0,0,0,0,1.354903125204146,1.965649583376944,0.6107464581727982
