seed_block,game_seed,lineup_index,lineup,rotation,seat,player_id,strategy,winner,game_finished,turns,victory_points,roads,settlements,cities,knights,largest_army,longest_road,dev_vp
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,2,1,0,roads_and_cities,0,1,164,8,15,0,4,0,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,2,2,1,port,0,1,164,7,15,5,1,0,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,2,3,2,full_ows,0,1,164,7,6,2,0,6,1,0,3
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,2,4,3,hybrid_ows,1,1,164,10,15,0,3,3,0,1,2
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,3,1,0,port,1,1,97,10,13,2,3,0,0,1,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,3,2,1,full_ows,0,1,97,2,2,2,0,1,0,0,0
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,3,3,2,hybrid_ows,0,1,97,8,6,2,0,4,1,0,4
0,0,4,full_ows|hybrid_ows|roads_and_cities|port,3,4,3,roads_and_cities,0,1,97,6,12,0,3,0,0,0,0
0,0,5,full_ows|hybrid_ows|five_resource|port,0,1,0,full_ows,0,1,110,3,5,2,0,0,0,0,1
0,0,5,full_ows|hybrid_ows|five_resource|port,0,2,1,hybrid_ows,1,1,110,10,11,1,2,4,1,1,1
0,0,5,full_ows|hybrid_ows|five_resource|port,0,3,2,five_resource,0,1,110,5,12,3,0,0,0,0,2
0,0,5,full_ows|hybrid_ows|five_resource|port,0,4,3,port,0,1,110,4,13,2,1,0,0,0,0
0,0,5,full_ows|hybrid_ows|five_resource|port,1,1,0,hybrid_ows,0,1,135,8,15,0,3,5,1,0,0
0,0,5,full_ows|hybrid_ows|five_resource|port,1,2,1,five_resource,0,1,135,6,10,2,2,0,0,0,0
0,0,5,full_ows|hybrid_ows|five_resource|port,1,3,2,port,1,1,135,10,15,2,3,0,0,1,0
0,0,5,full_ows|hybrid_ows|five_resource|port,1,4,3,full_ows,0,1,135,8,9,3,0,4,0,0,5
0,0,5,full_ows|hybrid_ows|five_resource|port,2,1,0,five_resource,0,1,124,8,13,2,3,0,0,0,0
0,0,5,full_ows|hybrid_ows|five_resource|port,2,2,1,port,0,1,124,7,15,5,1,0,0,0,0
0,0,5,full_ows|hybrid_ows|five_resource|port,2,3,2,full_ows,0,1,124,5,7,2,0,3,0,0,3
0,0,5,full_ows|hybrid_ows|five_resource|port,2,4,3,hybrid_ows,1,1,124,10,13,0,2,5,1,1,2
0,0,5,full_ows|hybrid_ows|five_resource|port,3,1,0,port,1,1,109,10,15,4,2,0,0,1,0
0,0,5,full_ows|hybrid_ows|five_resource|port,3,2,1,full_ows,0,1,109,3,4,2,0,3,0,0,1
0,0,5,full_ows|hybrid_ows|five_resource|port,3,3,2,hybrid_ows,0,1,109,7,8,2,0,3,1,0,3
0,0,5,full_ows|hybrid_ows|five_resource|port,3,4,3,five_resource,0,1,109,5,9,2,1,0,0,0,1
0,0,6,full_ows|road_building|roads_and_cities|five_resource,0,1,0,full_ows,0,1,99,5,8,2,0,5,1,0,1
0,0,6,full_ows|road_building|roads_and_cities|five_resource,0,2,1,road_building,0,1,99,9,12,3,1,0,0,1,2
0,0,6,full_ows|road_building|roads_and_cities|five_resource,0,3,2,roads_and_cities,1,1,99,10,15,2,4,0,0,0,0
0,0,6,full_ows|road_building|roads_and_cities|five_resource,0,4,3,five_resource,0,1,99,4,6,1,1,0,0,0,1
0,0,6,full_ows|road_building|roads_and_cities|five_resource,1,1,0,road_building,0,1,130,7,15,3,2,0,0,0,0
0,0,6,full_ows|road_building|roads_and_cities|five_resource,1,2,1,roads_and_cities,1,1,130,10,15,1,3,0,0,1,1
0,0,6,full_ows|road_building|roads_and_cities|five_resource,1,3,2,five_resource,0,1,130,6,15,5,0,0,0,0,1
0,0,6,full_ows|road_building|roads_and_cities|five_resource,1,4,3,full_ows,0,1,130,9,5,0,2,11,1,0,3
0,0,6,full_ows|road_building|roads_and_cities|five_resource,2,1,0,roads_and_cities,0,1,98,5,15,0,2,0,0,0,1
0,0,6,full_ows|road_building|roads_and_cities|five_resource,2,2,1,five_resource,1,1,98,10,15,0,4,0,0,1,0
0,0,6,full_ows|road_building|roads_and_cities|five_resource,2,3,2,full_ows,0,1,98,5,3,2,0,0,0,0,3
0,0,6,full_ows|road_building|roads_and_cities|five_resource,2,4,3,road_building,0,1,98,3,13,3,0,0,0,0,0
0,0,6,full_ows|road_building|roads_and_cities|five_resource,3,1,0,five_resource,1,1,113,10,14,0,4,0,0,1,0
